sep=,
X,Y,Z
-17.6031,13.447,-29.4454
-15.5778,13.4919,-28.6713
-13.386,13.3852,-27.8312
-10.8,13.4473,-27.3431
-8.14135,13.7715,-27.0646
-5.2944,14.0535,-26.8454
-2.36586,14.3894,-26.5806
0.466827,14.5856,-26.2032
3.19451,14.7483,-25.833
5.86832,14.7653,-25.4648
8.11374,14.9663,-24.8608
10.2078,15.3115,-24.3997
12.0439,15.642,-23.8836
13.9473,16.3628,-23.4547
15.8354,17.0714,-22.9089
17.6806,17.8282,-22.7058
19.7017,18.4484,-22.4452
21.6593,18.7732,-22.314
24.1611,19.2524,-22.1391
27.1684,19.8256,-22.0419
29.6997,20.1848,-21.7253
33.1804,20.6197,-21.7154
36.9169,20.9058,-21.8618
40.7132,21.2394,-21.8596
45.0016,21.4271,-21.9533
48.027,21.6337,-21.8481
51.1491,22.3617,-21.7005
54.2303,23.0903,-21.4647
57.3705,24.0447,-20.9669
60.5828,24.9174,-20.5881
63.7779,25.8929,-20.3231
67.0634,26.9158,-20.0294
70.3639,28.0411,-19.9754
73.6765,29.0732,-19.8144
77.0483,30.2556,-19.8318
80.203,31.1874,-20.0689
83.0672,32.3709,-20.1279
85.988,33.9,-20.1806
88.5233,35.5065,-20.3465
91.0698,37.3971,-20.1507
93.8182,39.1,-19.9129
96.3848,40.4827,-19.684
99.2774,42.0919,-19.2518
101.224,43.2516,-18.7185
103.691,44.5816,-17.8411
105.749,45.7965,-17.1679
107.819,47.0593,-16.1543
109.696,48.1856,-15.2354
111.97,49.4969,-14.2022
113.914,50.1944,-13.1616
115.826,50.9571,-12.2829
117.831,51.5694,-11.4669
119.781,51.8776,-10.5219
121.9,51.935,-9.68547
124.355,51.896,-8.4482
126.627,51.6549,-7.42006
128.858,51.6469,-6.32941
130.96,51.716,-5.40283
132.67,51.7361,-4.34971
134.229,51.7385,-3.62474
135.887,51.4008,-2.92593
137.374,50.8993,-2.21059
138.562,50.3163,-1.63332
139.732,49.5926,-1.17268
140.505,48.9816,-0.959298
141.083,48.4883,-0.704649
141.667,47.9127,-0.739353
142.253,47.2949,-0.614134
142.713,46.5786,-0.450259
143.338,45.7675,-0.310855
143.943,44.9775,-0.173958
144.374,44.3557,-0.0294041
144.932,43.4702,0.183837
145.863,42.1444,0.492362
146.858,40.4392,1.23552
148.525,37.5603,2.25564
149.79,34.7763,3.40091
151.368,30.4104,4.61528
152.734,23.9828,5.74037
153.032,16.0292,6.18189
152.168,8.55092,5.74325
150.803,3.34183,4.94057
148.947,-0.597674,4.10084
146.907,-2.69372,3.55473
145.013,-3.76224,3.40037
143.67,-4.28136,3.68806
142.073,-4.78191,4.06982
140.464,-5.29578,4.43134
138.672,-5.72382,4.76586
136.775,-6.11164,5.056
135.037,-6.60563,5.44184
133.343,-7.15416,5.78675
131.653,-7.76908,6.04602
129.794,-8.63705,6.28302
