sep=,
X,Y,Z
137.255,16.2005,-74.5092
129,8.5691,-85.8718
141.157,20.8038,-77.138
146.886,26.4307,-73.4691
132.342,11.8674,-90.6001
142.957,21.3093,-35.0894
135.019,13.1189,-49.7636
131.145,9.18127,-54.1357
127.675,6.00176,-55.6518
130.944,8.55908,-57.5972
129.484,7.53647,-57.908
135.65,13.5762,-59.6723
144.278,22.6751,-60.3766
133.619,11.4316,-64.4647
134.55,12.4036,-66.1639
129.178,7.17067,-69.5263
135.806,13.4942,-68.3129
131.104,9.47444,-73.3837
137.345,15.1886,-72.5303
137.272,15.34,-73.0871
142.157,20.618,-71.1316
137.353,16.0591,-74.6813
141.815,19.9058,-72.7125
140.118,18.7735,-74.3626
141.283,19.6236,-74.5849
142.418,20.5047,-80.3774
138.845,17.573,-102.491
156.226,35.4563,-115.684
133.561,10.0409,-44.9162
130.793,7.98437,-53.7218
123.732,-0.866985,-59.2005
133.786,10.5492,-60.6522
129.212,4.97025,-66.9824
127.697,4.33931,-71.5334
136.238,13.7934,-69.4657
136.811,14.3521,-70.5434
137.253,14.8937,-71.7255
146.136,23.8897,-71.7326
132.564,9.64092,-89.0846
146.537,24.6048,-97.4449
150.043,28.1659,-102.552
155.581,34.4935,-115.898
134.656,10.6384,-45.7482
135.549,11.4143,-47.3521
136.339,12.0473,-49.5273
130.941,6.00917,-53.7077
135.231,11.385,-58.7363
135.662,11.5242,-63.1484
138.733,15.0838,-64.1853
131.436,7.28965,-72.5673
142.094,18.2923,-70.7804
